"ENSEMBL","GENETYPE","SYMBOL","ENTREZID"
"ENSG00000121410","protein-coding","A1BG","1"
"ENSG00000175899","protein-coding","A2M","2"
"ENSG00000291190","pseudo","A2MP1","3"
"ENSG00000171428","protein-coding","NAT1","9"
"ENSG00000156006","protein-coding","NAT2","10"
"ENSG00000196136","protein-coding","SERPINA3","12"
"ENSG00000114771","protein-coding","AADAC","13"
"ENSG00000127837","protein-coding","AAMP","14"
"ENSG00000129673","protein-coding","AANAT","15"
"ENSG00000090861","protein-coding","AARS1","16"
"ENSG00000183044","protein-coding","ABAT","18"
"ENSG00000165029","protein-coding","ABCA1","19"
"ENSG00000107331","protein-coding","ABCA2","20"
"ENSG00000167972","protein-coding","ABCA3","21"
"ENSG00000131269","protein-coding","ABCB7","22"
"ENSG00000204574","protein-coding","ABCF1","23"
"ENSG00000225989","protein-coding","ABCF1","23"
"ENSG00000236149","protein-coding","ABCF1","23"
"ENSG00000236342","protein-coding","ABCF1","23"
"ENSG00000231129","protein-coding","ABCF1","23"
"ENSG00000232169","protein-coding","ABCF1","23"
"ENSG00000206490","protein-coding","ABCF1","23"
"ENSG00000198691","protein-coding","ABCA4","24"
"ENSG00000097007","protein-coding","ABL1","25"
"ENSG00000002726","protein-coding","AOC1","26"
"ENSG00000143322","protein-coding","ABL2","27"
"ENSG00000175164","protein-coding","ABO","28"
"ENSG00000281879","protein-coding","ABO","28"
"ENSG00000159842","protein-coding","ABR","29"
"ENSG00000278741","protein-coding","ABR","29"
"ENSG00000276016","protein-coding","ABR","29"
"ENSG00000060971","protein-coding","ACAA1","30"
"ENSG00000278540","protein-coding","ACACA","31"
"ENSG00000275176","protein-coding","ACACA","31"
"ENSG00000076555","protein-coding","ACACB","32"
"ENSG00000115361","protein-coding","ACADL","33"
"ENSG00000117054","protein-coding","ACADM","34"
"ENSG00000122971","protein-coding","ACADS","35"
"ENSG00000196177","protein-coding","ACADSB","36"
"ENSG00000072778","protein-coding","ACADVL","37"
"ENSG00000075239","protein-coding","ACAT1","38"
"ENSG00000120437","protein-coding","ACAT2","39"
"ENSG00000108684","protein-coding","ASIC2","40"
"ENSG00000110881","protein-coding","ASIC1","41"
"ENSG00000087085","protein-coding","ACHE","43"
"ENSG00000131473","protein-coding","ACLY","47"
"ENSG00000122729","protein-coding","ACO1","48"
"ENSG00000100312","protein-coding","ACR","49"
"ENSG00000291368","protein-coding","ACR","49"
"ENSG00000100412","protein-coding","ACO2","50"
"ENSG00000161533","protein-coding","ACOX1","51"
"ENSG00000143727","protein-coding","ACP1","52"
"ENSG00000134575","protein-coding","ACP2","53"
"ENSG00000102575","protein-coding","ACP5","54"
"ENSG00000014257","protein-coding","ACP3","55"
"ENSG00000134940","protein-coding","ACRV1","56"
"ENSG00000143632","protein-coding","ACTA1","58"
"ENSG00000107796","protein-coding","ACTA2","59"
"ENSG00000075624","protein-coding","ACTB","60"
"ENSG00000159251","protein-coding","ACTC1","70"
"ENSG00000184009","protein-coding","ACTG1","71"
"ENSG00000291420","protein-coding","ACTG1","71"
"ENSG00000163017","protein-coding","ACTG2","72"
"ENSG00000130402","protein-coding","ACTN4","81"
"ENSG00000282844","protein-coding","ACTN4","81"
"ENSG00000136518","protein-coding","ACTL6A","86"
"ENSG00000072110","protein-coding","ACTN1","87"
"ENSG00000077522","protein-coding","ACTN2","88"
"ENSG00000248746","protein-coding","ACTN3","89"
"ENSG00000115170","protein-coding","ACVR1","90"
"ENSG00000135503","protein-coding","ACVR1B","91"
"ENSG00000121989","protein-coding","ACVR2A","92"
"ENSG00000114739","protein-coding","ACVR2B","93"
"ENSG00000139567","protein-coding","ACVRL1","94"
"ENSG00000243989","protein-coding","ACY1","95"
"ENSG00000119640","protein-coding","ACYP1","97"
"ENSG00000170634","protein-coding","ACYP2","98"
"ENSG00000196839","protein-coding","ADA","100"
"ENSG00000151651","protein-coding","ADAM8","101"
"ENSG00000137845","protein-coding","ADAM10","102"
"ENSG00000160710","protein-coding","ADAR","103"
"ENSG00000197381","protein-coding","ADARB1","104"
"ENSG00000185736","protein-coding","ADARB2","105"
"ENSG00000164742","protein-coding","ADCY1","107"
"ENSG00000078295","protein-coding","ADCY2","108"
"ENSG00000138031","protein-coding","ADCY3","109"
"ENSG00000173175","protein-coding","ADCY5","111"
"ENSG00000174233","protein-coding","ADCY6","112"
